219	54.95
220	55.38
221	54.78
222	55.17
223	55.51
224	56.20
225	56.46
226	55.90
227	56.42
228	57.13
229	57.67
230	57.71
231	57.67
232	57.94
233	57.89
234	58.77
235	58.95
236	58.35
237	59.09
238	59.28
239	59.85
240	59.99
241	59.94
242	60.23
243	60.81
244	60.95
245	61.15
246	61.30
247	61.59
248	61.59
249	62.09
250	62.24
251	62.09
252	62.79
253	62.90
254	63.10
255	63.36
254	63.10
253	62.84
252	62.84
251	62.44
250	61.84
249	62.04
248	61.89
247	61.69
246	61.39
245	61.10
244	60.52
243	60.47
242	60.52
241	60.23
240	59.56
239	59.47
238	59.23
237	59.52
236	59.05
235	58.12
234	58.35
233	58.17
232	58.26
231	57.44
230	57.40
229	56.86
228	56.99
227	56.99
226	55.94
225	55.85
224	55.72
223	56.07
222	55.68
221	54.74
220	54.49
219	54.62
218	54.91
217	54.41
216	53.29
215	53.62
214	53.37
213	53.78
212	53.29
211	52.05
210	52.17
209	52.05
208	52.49
207	51.74
206	51.00
205	51.04
204	51.08
203	51.15
202	50.16
201	49.57
200	49.90
199	49.90
198	49.90
197	48.95
196	48.44
195	48.48
194	48.62
193	48.62
192	47.70
191	47.24
190	47.24
189	47.49
188	47.42
187	46.22
186	45.75
185	46.01
184	46.22
183	46.15
182	44.92
181	44.57
180	44.63
179	45.02
178	44.92
177	43.74
176	43.28
175	43.40
174	43.81
173	43.65
172	42.57
171	42.18
170	42.24
169	42.39
168	42.30
167	41.24
166	40.92
165	40.72
164	41.18
163	41.12
162	40.09
161	39.51
160	39.62
159	39.90
158	39.82
157	38.80
156	38.06
155	38.19
154	38.64
153	38.59
152	37.51
151	36.90
150	36.95
149	37.23
148	37.15
147	36.38
146	35.81
145	35.67
144	36.03
143	35.88
142	35.07
141	34.60
140	34.34
139	34.76
138	34.60
137	33.80
136	33.28
135	33.11
134	33.42
133	33.26
132	32.58
131	32.05
130	31.86
129	32.15
128	31.94
127	31.17
126	30.75
125	30.71
124	30.89
123	30.51
122	29.94
121	29.57
120	29.55
119	29.69
118	29.17
117	28.60
116	28.28
115	28.39
114	28.36
113	27.92
112	27.41
111	26.98
110	27.20
109	27.10
108	26.49
107	26.04
106	25.83
105	25.96
104	25.84
103	25.33
102	24.75
101	24.53
100	24.76
99	24.55
98	23.97
97	23.49
96	23.59
95	23.47
94	23.04
93	22.48
92	22.32
91	22.45
90	21.96
89	21.67
88	21.29
87	21.34
86	21.20
85	20.67
84	20.29
83	20.20
82	20.12
81	19.68
80	19.31
79	18.99
78	19.11
77	18.78
76	18.37
75	18.07
74	18.00
73	17.80
72	17.41
71	17.04
70	16.86
69	16.78
68	16.43
67	16.07
66	15.80
65	15.65
64	15.53
63	15.09
62	14.81
61	14.60
60	14.48
59	14.17
58	13.78
57	13.56
56	13.37
55	13.24
54	12.81
53	12.59
52	12.35
51	12.21
50	11.84
49	11.55
48	11.27
47	11.14
46	10.92
45	10.56
44	10.30
43	10.11
42	9.91
41	9.61
40	9.32
39	9.09
38	8.93
37	8.56
36	8.30
35	8.07
34	7.86
33	7.56
32	7.31
31	7.08
30	6.87
29	6.60
28	6.33
27	6.10
26	5.86
25	5.60
24	5.30
23	5.10
22	4.87
21	4.64
20	4.37
19	4.10
18	3.90
17	3.63
